Company,Amount,Year
Consortium for Plant Biotech Research,20000,1998
Canberra Packard Bio Science,20000,1998
UCB SA,20000,1998
VISX Inc,20000,1998
Weider Nutritional Group,20000,1998
Smith & Nephew,20000,1998
CR Bard Inc,12000,1998
GML Industries,10000,1998
Health Freedom Fund,0,1998
Hillenbrand Industries,0,1998
Hearing Industries Assn,0,1998
Healthcare Compliance Packaging Council,0,1998
Knoll Pharmaceutical,0,1998
LC Technologies,0,1998
International Pharm Aerosol Consortium,0,1998
Medeva Pharmaceuticals,0,1998
Mobile Medical International Corp,0,1998
Mylan Inc,0,1998
National Assn of Med Equipment Suppliers,0,1998
National Disease Research Interchange,0,1998
National Pharmaceutical Alliance,0,1998
Rhodia Inc,0,1998
Cytyc Corp,0,1998
Diabetic Product Suppliers Coalition,0,1998
Ergo Science,0,1998
ESA Inc,0,1998
Duramed Pharmaceuticals,0,1998
Empi Inc,0,1998
CHIM,0,1998
Convacare Services,0,1998
Collagen Corp,0,1998
Cincinnati Milacron,0,1998
Autocyte,0,1998
Argyll Scientific,0,1998
Bio-Electromagnetic Society,0,1998
Bracco Diagnostics,0,1998
ADAC Laboratories,0,1998
Admetech,0,1998
American Society for Microbiology,0,1998
Analytical & Life Science Systems Assn,0,1998
Shelby Group International,0,1998
Sepracor Inc,0,1998
Sabolich Research & Development,0,1998
SangStat Medical Corp,0,1998
Sunrider International,0,1998
Abbott Laboratories,6789000,1999
Seniors Coalition,5694215,1999
Merck & Co,5320000,1999
Pharmaceutical Research & Manufacturers of America,5020000,1999
Schering-Plough Corp,4680000,1999
Eli Lilly & Co,4590000,1999
Pharmacia Corp,3910000,1999
Bristol-Myers Squibb,3620000,1999
Amgen Inc,3440000,1999
Roche Group,2954000,1999
AdvaMed,2920000,1999
GlaxoSmithKline,2740000,1999
American Home Products,2665743,1999
Biotechnology Industry Organization,2558796,1999
Pfizer Inc,2240000,1999
Johnson & Johnson,1840000,1999
Novartis AG,1780000,1999
Aventis,1770000,1999
Baxter International,1720000,1999
Bayer Corp,1109918,1999
Cardinal Health,860000,1999
Zeneca Inc,820000,1999
Genzyme Corp,760000,1999
"Becton, Dickinson & Co",650000,1999
Consumer Healthcare Products Assn,460000,1999
Allergan Inc,400000,1999
DuPont Co,400000,1999
Respironics Inc,400000,1999
Generic Pharmaceutical Assn,340000,1999
Council on Radionuclides & Radiopharm,280000,1999
Serono Inc,280000,1999
Michigan Biotechnology Institute,270000,1999
American Herbal Products Assn,245000,1999
AstraZeneca Pharmaceuticals,240000,1999
Allegiance Corp,240000,1999
Transkaryotic Therapies,240000,1999
Academy of Radiology Research,220000,1999
Cook Group,220000,1999
St Jude Medical,210000,1999
Tempur-Medical,200000,1999
Nestle SA,200000,1999
American Orthotic & Prosthetic Assn,200000,1999
Tyco International,196000,1999
Barr Laboratories,180000,1999
AdvancePCS,180000,1999
National Nutritional Foods Assn,180000,1999
Council for Responsible Nutrition,180000,1999
Biogen Idec,166000,1999
Caremark Rx,160000,1999
Boston Scientific Corp,160000,1999
Alere Medical,160000,1999
Alpharma Inc,160000,1999
Guidant Corp,160000,1999
Medtronic Inc,160000,1999
Roche Holdings,160000,1999
Genelabs Technologies,150000,1999
Avanir Pharmaceuticals,150000,1999
Academy of Managed Care Pharmacies,143000,1999
Psychemedics Corp,136000,1999
Pharmanex,120000,1999
National Wholesale Druggists Assn,120000,1999
Smith & Nephew,120000,1999
Association of Medical Device Reprocessors,120000,1999
Cell Therapeutics,120000,1999
Genencor International,120000,1999
Genome Action Coalition,120000,1999
Medical Imaging Contrast Agent Assn,120000,1999
National Assn for Medical Equipment Suppliers,120000,1999
CIFLA,110000,1999
Calspan-Univ of Buffalo Research Center,110000,1999
Polymedica Corp,110000,1999
Schering AG,100000,1999
Retractable Technologies,100000,1999
Twin Laboratories,100000,1999
Organogenesis Inc,100000,1999
Organon Inc,100000,1999
Novopharm USA,100000,1999
Philips Electronics,100000,1999
Biopure Corp,100000,1999
National Assn of Pharmaceutical Mfrs,100000,1999
National Alliance for Infusion Therapy,100000,1999
Enchira Biotechnology Corp,100000,1999
Health Industry Distributors Assn,100000,1999
Hill-Rom Holdings,100000,1999
Incyte Pharmaceuticals,100000,1999
Herbalife International,80000,1999
National Orthotic Manufacturers Assn,80000,1999
Medical Device Manufacturers Assn,80000,1999
Knoll Pharmaceutical,80000,1999
Canberra Packard Bio Science,80000,1999
Consortium for Plant Biotech Research,80000,1999
Research Corporation Technologies,80000,1999
Pharmerica,80000,1999
Utah Natural Products Alliance,80000,1999
VISX Inc,80000,1999
Rhone-Poulenc Inc,80000,1999
Scooter Store,80000,1999
Sepracor Inc,80000,1999
Sunrise Medical,80000,1999
Varian Medical Systems,60000,1999
Public Hospital Pharmacy Coalition,60000,1999
Oxtex International,60000,1999
Pathogenesis,60000,1999
Orphan Medical,60000,1999
Ortho Concepts,60000,1999
Cochlear Corp,60000,1999
CH Boehringer Sohn,60000,1999
Avax Technologies,60000,1999
Amdec Policy Group,60000,1999
Aksys Ltd,60000,1999
McKesson HBOC,60000,1999
Minimed Inc,60000,1999
Indiana Medical Device Mfrs Council,60000,1999
Genome Dynamics,60000,1999
Biovail Corp International,50000,1999
Quintiles Transnational,50000,1999
Agouron Pharmaceuticals,44000,1999
Andrx Corp,40000,1999
Carrington Laboratories,40000,1999
Biomedical Research Institute,40000,1999
Cephalon Inc,40000,1999
Constellation Technology,40000,1999
Cytometrics,40000,1999
D&F; Industries,40000,1999
Fischer Imaging Corp,40000,1999
Ephedra Cmte/Amer Herbal Products Assn,40000,1999
ICN Pharmaceuticals,40000,1999
Immune Complex Corp,40000,1999
Inter-Cal Corp,40000,1999
Metabolife,40000,1999
National Pharmaceutical Alliance,40000,1999
Metra Biosystems,40000,1999
Medeva Pharmaceuticals,40000,1999
Lifecell Corp,40000,1999
Reckitt Benckiser Inc,40000,1999
New Jersey Organ & Tissue Sharing Netwk,40000,1999
Nu Skin Enterprises,40000,1999
Neopharm Inc,40000,1999
Perrigo Co,40000,1999
SonoSite Inc,40000,1999
UroLogix,40000,1999
Vivid Technologies,40000,1999
Watson Pharmaceuticals,40000,1999
Weider Nutrition International,40000,1999
Thermedics Inc,40000,1999
Thermo Fisher Scientific,40000,1999
Sunscreen Coalition,40000,1999
SMS Corp,33000,1999
National Disease Research Interchange,30000,1999
Shaklee Corp,24000,1999
Direct Supply Inc,22700,1999
DeRoyal Industries,21000,1999
CR Bard Inc,20000,1999
Corp for Advancement of Medical Tech,20000,1999
Biotechnology Research & Devel Corp,20000,1999
Admetech,20000,1999
Metabolix,20000,1999
Metagenics,20000,1999
Microbran Products,20000,1999
Invacare Corp,20000,1999
Kemin Foods,20000,1999
Unimed Pharmaceuticals,20000,1999
Pedorthic Footwear Assn,20000,1999
Inphact Corp,15000,1999
Health Freedom Fund,12000,1999
Healthcare Compliance Packaging Council,0,1999
Hearing Industries Assn,0,1999
Hillenbrand Industries,0,1999
Hollister Inc,0,1999
Integra LifeSciences,0,1999
International Pharm Aerosol Consortium,0,1999
DNA Plant Technology Corp,0,1999
Dumex Medical,0,1999
Elekta AB,0,1999
Ergo Science,0,1999
ESA Inc,0,1999
Essex Medical Systems Plus,0,1999
Exact Laboratories,0,1999
Emerging Technology Partners LLC,0,1999
Kendall Healthcare Products,0,1999
Kensey Nash Corp,0,1999
Kinetic Biosystems,0,1999
LC Technologies,0,1999
Medix Pharmaceutricals Americas,0,1999
Medline Industries,0,1999
Merck KGaA,0,1999
Molnlycke Health Care,0,1999
MultiDimensional Imaging,0,1999
Mylan Inc,0,1999
National Lithotripsy Assn,0,1999
Alliance USA,0,1999
Advanced Tissue Sciences,0,1999
ADAC Laboratories,0,1999
Analytical & Life Science Systems Assn,0,1999
American Society for Microbiology,0,1999
American Society for Pharmacology & Therapeutics,0,1999
Astra Tech,0,1999
Augustine Medical,0,1999
Beiersdorf-Jobst Inc,0,1999
Bio-Electromagnetic Society,0,1999
Bracco Diagnostics,0,1999
Contemporary Products Inc,0,1999
Crown Therapeutics,0,1999
Coloplast Corp,0,1999
Chad Therapeutics,0,1999
CHIM,0,1999
Pegasus Airwave,0,1999
Natrol Inc,0,1999
Otto Bock Health Care,0,1999
ResMed Inc,0,1999
Sabolich Research & Development,0,1999
SangStat Medical Corp,0,1999
Theragenics Corp,0,1999
Xcel Medical Pharmacy,0,1999
Synzyme Technologies,0,1999
Seniors Coalition,9022096,2000
Pharmaceutical Research & Manufacturers of America,7480000,2000
Schering-Plough Corp,7320000,2000
Eli Lilly & Co,5300000,2000
Abbott Laboratories,4940000,2000
Bristol-Myers Squibb,4660000,2000
American Home Products,4417551,2000
AdvaMed,3900000,2000
Pharmacia Corp,3782960,2000
Roche Group,3662095,2000
Pfizer Inc,3620000,2000
Merck & Co,3122000,2000
Johnson & Johnson,2960000,2000
GlaxoSmithKline,2920000,2000
Biotechnology Industry Organization,2857000,2000
Novartis AG,2700000,2000
Amgen Inc,2680000,2000
Baxter International,2560000,2000
Bayer Corp,1336775,2000
"Becton, Dickinson & Co",1042713,2000
Serono Inc,1030000,2000
Pegasus Airwave,1000000,2000
Genzyme Corp,1000000,2000
Avanir Pharmaceuticals,880000,2000
AstraZeneca Pharmaceuticals,640000,2000
Generic Pharmaceutical Assn,540000,2000
Sepracor Inc,520000,2000
Biogen Idec,460000,2000
Medtronic Inc,400000,2000
Aventis,370000,2000
Schering AG,360000,2000
Applera Corp,340000,2000
Calspan-Univ of Buffalo Research Center,304000,2000
Barr Laboratories,300000,2000
Allegiance Corp,300000,2000
Michigan Biotechnology Institute,275000,2000
American Herbal Products Assn,270000,2000
Boston Scientific Corp,260000,2000
Chiron Corp,260000,2000
Council on Radionuclides & Radiopharm,260000,2000
Association of Medical Device Reprocessors,240000,2000
Public Hospital Pharmacy Coalition,240000,2000
DuPont Co,230000,2000
National Nutritional Foods Assn,220000,2000
Nestle SA,200000,2000
American Orthotic & Prosthetic Assn,200000,2000
Academy of Radiology Research,200000,2000
Academy of Managed Care Pharmacies,190000,2000
Medical Imaging Contrast Agent Assn,180000,2000
National Alliance for Infusion Therapy,160000,2000
Organogenesis Inc,160000,2000
VISX Inc,160000,2000
Caremark Rx,160000,2000
Consumer Healthcare Products Assn,160000,2000
Genencor International,160000,2000
Guidant Corp,160000,2000
Hill-Rom Holdings,160000,2000
Human Genome Sciences,150000,2000
Tyco International,150000,2000
Biotech Research & Development Center,137500,2000
Allergan Inc,136000,2000
Admetech,120000,2000
Andrx Corp,120000,2000
CH Boehringer Sohn,120000,2000
Genome Action Coalition,120000,2000
Ephedra Cmte/Amer Herbal Products Assn,120000,2000
Watson Pharmaceuticals,120000,2000
Sunrise Medical,120000,2000
MultiDimensional Imaging,120000,2000
National Wholesale Druggists Assn,120000,2000
St Jude Medical,110000,2000
Transkaryotic Therapies,100000,2000
Smith & Nephew,100000,2000
Vivid Technologies,100000,2000
National Assn of Pharmaceutical Mfrs,100000,2000
Minimed Inc,100000,2000
Oxtex International,100000,2000
Philips Electronics,100000,2000
Polymedica Corp,100000,2000
Cardinal Health,100000,2000
Cook Group,100000,2000
Cell Therapeutics,100000,2000
Cephalon Inc,100000,2000
Biopure Corp,100000,2000
Alere Medical,100000,2000
Alphabet Holding Co,100000,2000
Alpharma Inc,100000,2000
Biomedical Research Institute,80000,2000
Carrington Laboratories,80000,2000
Canberra Packard Bio Science,80000,2000
Kinetic Biosystems,80000,2000
Invacare Corp,80000,2000
Ivax Corp,80000,2000
Research Corporation Technologies,80000,2000
Retractable Technologies,80000,2000
Herbalife International,80000,2000
McKesson HBOC,80000,2000
Naigai Inc,80000,2000
National Orthotic Manufacturers Assn,80000,2000
Virtual Drug Development,80000,2000
Twin Laboratories,80000,2000
Utah Natural Products Alliance,80000,2000
Varian Medical Systems,80000,2000
Amdec Policy Group,70000,2000
Organon Inc,62340,2000
Novopharm USA,60000,2000
Pathogenesis,60000,2000
Roche Holdings,60000,2000
Respironics Inc,60000,2000
Nexia Biotechnologies,60000,2000
Lifecell Corp,60000,2000
Triosyn Corp,60000,2000
AdvancePCS,60000,2000
Assn of Disposable Device Manufacturers,60000,2000
CIFLA,60000,2000
Enchira Biotechnology Corp,60000,2000
Hollis-Eden Pharmaceuticals,60000,2000
Henry Schein Inc,60000,2000
DNA Sciences Inc,60000,2000
Psychemedics Corp,52500,2000
SMS Corp,51000,2000
UroLogix,50000,2000
Agouron Pharmaceuticals,42300,2000
ANSAR Inc,40000,2000
Cochlear Corp,40000,2000
Ganaden Biotech,40000,2000
Council for Responsible Nutrition,40000,2000
CR Bard Inc,40000,2000
Genome Dynamics,40000,2000
Health Industry Distributors Assn,40000,2000
Inter-Cal Corp,40000,2000
Indiana Medical Device Mfrs Council,40000,2000
Large Scale Biology,40000,2000
Thermo Fisher Scientific,40000,2000
Pedorthic Footwear Assn,40000,2000
Nu Skin Enterprises,40000,2000
Reckitt Benckiser Inc,40000,2000
Regeneration Technologies,40000,2000
Rhone-Poulenc Inc,40000,2000
Medical Device Manufacturers Assn,40000,2000
New Jersey Organ & Tissue Sharing Netwk,40000,2000
National Assn for Medical Equipment Suppliers,40000,2000
Aso Corp,31612,2000
DeRoyal Industries,26500,2000
Dey LP,25000,2000
Shaklee Corp,24000,2000
Virologic Inc,20000,2000
Millennium Pharmaceuticals,20000,2000
National Pharmaceutical Alliance,20000,2000
MedAssets Inc,20000,2000
Metabolife,20000,2000
Metabolix,20000,2000
Sabolich Research & Development,20000,2000
Quintiles Transnational,20000,2000
Onconova Therapeutics,20000,2000
Neopharm Inc,20000,2000
Cytyc Corp,20000,2000
D&F; Industries,20000,2000
Genelabs Technologies,20000,2000
Exact Laboratories,20000,2000
Fischer Imaging Corp,20000,2000
Integra LifeSciences,20000,2000
Hillenbrand Industries,20000,2000
Cell Pathways Inc,20000,2000
Constellation Technology,10000,2000
Pharmanex,10000,2000
Orasure Technologies,0,2000
Orphan Medical,0,2000
Ortho Concepts,0,2000
OSI Systems,0,2000
ResMed Inc,0,2000
SangStat Medical Corp,0,2000
Rotech Healthcare,0,2000
Merck KGaA,0,2000
Mobile Medical International Corp,0,2000
Molnlycke Health Care,0,2000
Microbran Products,0,2000
Medeva Pharmaceuticals,0,2000
Medix Pharmaceutricals Americas,0,2000
Medline Industries,0,2000
Natrol Inc,0,2000
NitroMed Inc,0,2000
Mylan Inc,0,2000
National Center for Genome Research,0,2000
National Disease Research Interchange,0,2000
Vanguard Medical Concepts,0,2000
Weider Nutrition International,0,2000
Welcon Inc,0,2000
Women First HealthCare,0,2000
Xcel Medical Pharmacy,0,2000
Somerset Pharmaceuticals,0,2000
SonoSite Inc,0,2000
Sterilmed Inc,0,2000
Sunrider International,0,2000
Sunscreen Coalition,0,2000
Synzyme Technologies,0,2000
Takeda Pharmaceuticals North America,0,2000
Tempur-Medical,0,2000
Theragenics Corp,0,2000
Thermedics Inc,0,2000
Contemporary Products Inc,0,2000
CP Pharmaceuticals,0,2000
Cubist Pharmaceuticals,0,2000
Direct Supply Inc,0,2000
DNA Plant Technology Corp,0,2000
Ergo Science,0,2000
ESA Inc,0,2000
Essex Medical Systems Plus,0,2000
Dumex Medical,0,2000
Emerging Technology Partners LLC,0,2000
Duramed Pharmaceuticals,0,2000
Elan Corp,0,2000
Elan Pharmaceutical Research,0,2000
Elekta AB,0,2000
Hollister Inc,0,2000
ICN Pharmaceuticals,0,2000
Incyte Pharmaceuticals,0,2000
Healthcare Compliance Packaging Council,0,2000
Hearing Industries Assn,0,2000
Health Freedom Fund,0,2000
Integrated Medical Systems,0,2000
Infusion Dynamics,0,2000
Inphact Corp,0,2000
International Pharm Aerosol Consortium,0,2000
LC Technologies,0,2000
Liberty Medical Supply,0,2000
Knoll Pharmaceutical,0,2000
Kemin Foods,0,2000
Kendall Healthcare Products,0,2000
Kensey Nash Corp,0,2000
Cell Tech,0,2000
Celgene Corp,0,2000
Colgate-Palmolive Co,0,2000
Coloplast Corp,0,2000
Consortium for Plant Biotech Research,0,2000
Coalition of Gelatin Capsule Mfrs,0,2000
CHIM,0,2000
Bracco Diagnostics,0,2000
Biovail Corp International,0,2000
Avax Technologies,0,2000
Beiersdorf-Jobst Inc,0,2000
Bio-Electromagnetic Society,0,2000
Biochemics,0,2000
Astra Tech,0,2000
Augustine Medical,0,2000
Analytical & Life Science Systems Assn,0,2000
American Society for Microbiology,0,2000
American Society for Pharmacology & Therapeutics,0,2000
Aksys Ltd,0,2000
ADAC Laboratories,0,2000
American Assn of Pharmaceutical Scientists,0,2000
Altana Inc,0,2000
Alliance USA,0,2000
Pharmaceutical Research & Manufacturers of America,11280000,2001
Eli Lilly & Co,6500000,2001
Merck & Co,6200000,2001
Bristol-Myers Squibb,4860000,2001
AdvaMed,4580000,2001
American Home Products,4460000,2001
Seniors Coalition,4382606,2001
Roche Group,4017938,2001
GlaxoSmithKline,4000000,2001
Pfizer Inc,3570000,2001
Johnson & Johnson,3560000,2001
Biotechnology Industry Organization,3506000,2001
Abbott Laboratories,3240000,2001
Amgen Inc,3080000,2001
Novartis AG,2600000,2001
Baxter International,2200000,2001
Aventis,1860000,2001
Schering-Plough Corp,1680000,2001
Bayer Corp,1418125,2001
Pharmacia Corp,1337840,2001
Millennium Pharmaceuticals,1120000,2001
Genzyme Corp,920000,2001
Barr Laboratories,840000,2001
Cardinal Health,780000,2001
Biogen Idec,675000,2001
Metabolife,660000,2001
AstraZeneca Pharmaceuticals,580000,2001
Medtronic Inc,560000,2001
"Becton, Dickinson & Co",540906,2001
Generic Pharmaceutical Assn,480000,2001
AdvancePCS,360000,2001
Michigan Biotechnology Institute,325000,2001
Watson Pharmaceuticals,300000,2001
Allergan Inc,300000,2001
Immunex Corp,300000,2001
Council on Radionuclides & Radiopharm,280000,2001
American Herbal Products Assn,280000,2001
Power Mobility Coalition,280000,2001
Purdue Pharma,280000,2001
St Jude Medical,250000,2001
Schering AG,240000,2001
Calspan-Univ of Buffalo Research Center,240000,2001
Human Genome Sciences,240000,2001
Genencor International,220000,2001
Consumer Healthcare Products Assn,220000,2001
Academy of Radiology Research,220000,2001
Regeneration Technologies,220000,2001
Ivax Corp,220000,2001
Academy of Managed Care Pharmacies,219000,2001
Applera Corp,200000,2001
American Orthotic & Prosthetic Assn,200000,2001
Allegiance Corp,200000,2001
ICN Pharmaceuticals,200000,2001
Medical Imaging Contrast Agent Assn,200000,2001
Nestle SA,200000,2001
Boston Scientific Corp,190000,2001
Cephalon Inc,180000,2001
American Biosystems,180000,2001
National Nutritional Foods Assn,180000,2001
Serono Inc,170000,2001
National Alliance for Infusion Therapy,160000,2001
Caremark Rx,160000,2001
Guidant Corp,160000,2001
Healthcare Distribution Management Assn,160000,2001
Henry Schein Inc,140000,2001
Invacare Corp,140000,2001
Eyt,140000,2001
Steris Corp,140000,2001
Chiron Corp,138000,2001
Biotech Research & Development Center,137500,2001
CH Boehringer Sohn,120000,2001
Celgene Corp,120000,2001
Andrx Corp,120000,2001
Admetech,120000,2001
Alere Medical,120000,2001
Genome Action Coalition,120000,2001
Sunrise Medical,120000,2001
Roche Holdings,120000,2001
Tyco International,120000,2001
Large Scale Biology,120000,2001
Public Hospital Pharmacy Coalition,120000,2001
Sigma-Tau Pharmaceuticals,117059,2001
Virtual Drug Development,100000,2001
Pegasus Airwave,100000,2001
McKesson Corp,100000,2001
Hill-Rom Holdings,100000,2001
Alphabet Holding Co,100000,2001
Visible Genetics,90000,2001
Utah Natural Products Alliance,80000,2001
Varian Medical Systems,80000,2001
Triosyn Corp,80000,2001
Twin Laboratories,80000,2001
Research Corporation Technologies,80000,2001
MultiDimensional Imaging,80000,2001
National Orthotic Manufacturers Assn,80000,2001
Amdec Policy Group,80000,2001
Alliance for Animal Genome Research,80000,2001
Biomedical Research Institute,80000,2001
Hollis-Eden Pharmaceuticals,80000,2001
IOGEN Corp,80000,2001
Council for Responsible Nutrition,80000,2001
Digene Corp,80000,2001
Diversa Corp,80000,2001
DeRoyal Industries,70000,2001
Biopure Corp,70000,2001
Bracco Diagnostics,70000,2001
Aspect Medical Systems,70000,2001
Polymedica Corp,70000,2001
Plasma Protein Therapeutics Assn,60000,2001
Philips Electronics,60000,2001
Orasure Technologies,60000,2001
Kinetic Biosystems,60000,2001
Sepracor Inc,60000,2001
UroLogix,60000,2001
American Society for Microbiology,60000,2001
Association of Medical Device Reprocessors,60000,2001
CR Bard Inc,60000,2001
Empi Inc,60000,2001
Gilead Sciences,60000,2001
Genesoft Inc,60000,2001
SMS Corp,51000,2001
Viatronix Inc,50000,2001
Apotex Inc,50000,2001
Aksys Ltd,40000,2001
Bayer AG,40000,2001
Biovail Corp International,40000,2001
Cell Therapeutics,40000,2001
Genelabs Technologies,40000,2001
Imclone Systems,40000,2001
Indiana Medical Device Mfrs Council,40000,2001
Gambro AB,40000,2001
Ganaden Biotech,40000,2001
Elusys Therapeutics,40000,2001
Emerging Technology Partners LLC,40000,2001
Ephedra Cmte/Amer Herbal Products Assn,40000,2001
Dey LP,40000,2001
Cytyc Corp,40000,2001
Vaxin Pharmaceuticals,40000,2001
Stemcyte Inc,40000,2001
Takeda Pharmaceuticals North America,40000,2001
Teva Pharmaceutical Industries,40000,2001
Theragenics Corp,40000,2001
Sabolich Research & Development,40000,2001
Respironics Inc,40000,2001
Lifecell Corp,40000,2001
Neopharm Inc,40000,2001
New Jersey Center for Biomaterials,40000,2001
Mentor Corp,40000,2001
Organogenesis Inc,40000,2001
Opportunity Medical,40000,2001
Pedorthic Footwear Assn,40000,2001
Nu Skin Enterprises,40000,2001
Nexia Biotechnologies,40000,2001
Norbrook Laboratories,40000,2001
Quintiles Transnational,40000,2001
Reckitt Benckiser Inc,40000,2001
Psychemedics Corp,36000,2001
National Disease Research Interchange,30000,2001
Medical Device Manufacturers Assn,30000,2001
Pathogenesis,25000,2001
Novavax Inc,20000,2001
Questcor Pharmaceuticals,20000,2001
Pittsburgh Tissue Engineering Initiative,20000,2001
Pharmathene Inc,20000,2001
National Assn of Pharmaceutical Mfrs,20000,2001
Lifecore Biomedical,20000,2001
Retractable Technologies,20000,2001
Thermo Fisher Scientific,20000,2001
Transkaryotic Therapies,20000,2001
Taro Pharmaceuticals USA,20000,2001
Sterilmed Inc,20000,2001
Smith & Nephew,20000,2001
United Therapeautics,20000,2001
Univec Inc,20000,2001
Exact Laboratories,20000,2001
ANSAR Inc,20000,2001
Aronex Pharmaceuticals,20000,2001
American Jet Injector,20000,2001
Sigma-Aldrich Corp,15000,2001
Direct Supply Inc,12623,2001
Constellation Technology,10000,2001
Cook Group,10000,2001
Hillenbrand Industries,10000,2001
Hollister Inc,0,2001
Infusion Dynamics,0,2001
Inphact Corp,0,2001
Integra LifeSciences,0,2001
Integrated Medical Systems,0,2001
Inter-Cal Corp,0,2001
International Pharm Aerosol Consortium,0,2001
Genome Dynamics,0,2001
Herbalife International,0,2001
Hearing Industries Assn,0,2001
HemispheRx Biopharma,0,2001
Health Freedom Fund,0,2001
Health Industry Distributors Assn,0,2001
Healthcare Compliance Packaging Council,0,2001
Contemporary Products Inc,0,2001
Cubist Pharmaceuticals,0,2001
Covance Inc,0,2001
Deka Research & Development,0,2001
DNA Plant Technology Corp,0,2001
DNA Sciences Inc,0,2001
Dumex Medical,0,2001
Duramed Pharmaceuticals,0,2001
Elan Pharmaceutical Research,0,2001
